,lemma,main form,text,ent,count_terms,chi2
1923,réponse positif,réponse positive,réponses positives | réponse positive,,4,29.586385065259634
1924,application stopcovid,application stopcovid,application StopCovid,,4,51.77617386420436
1925,réponse précis,réponses précises,réponses précises,,4,36.98298133157454
1926,thomas rebaud,thomas rebaud,Thomas Rebaud | Thomas REBAUD,,4,73.96596266314909
1927,politique social,politique sociale,politique sociale | politiques sociales,,4,29.586385065259634
1928,intelligent capable,intelligent capable,intelligent capable | intelligents capables,,4,29.586385065259634
1929,principal problème,principal problème,principal problème | principaux problèmes,,4,29.586385065259634
1930,swiss re,swiss re,Swiss Re,,4,36.98298133157454
1931,technologie avancée,technologies avancées,technologies avancées,,4,29.586385065259634
1932,code postal,code postal,code postal | codes postaux,,4,29.586385065259634
1933,réponse simple,réponse simple,réponse simple | réponses simples,,4,29.586385065259634
1934,tissu industriel,tissu industriel,tissu industriel,,4,29.586385065259634
1935,grand étude,grande étude,grande étude | grandes études,,4,29.586385065259634
1936,collectif français,collectif français,collectif français,,4,29.586385065259634
1937,régie publicitaire,régie publicitaire,régie publicitaire,,4,36.98298133157454
1938,dernier rapport,dernier rapport,dernier rapport,,4,29.586385065259634
1939,sens artistique,sens artistique,sens artistique,,4,29.586385065259634
1940,instant t,instant t,instant T | instant t,,4,29.586385065259634
1941,valeur moral,valeurs morales,valeurs morales,,4,29.586385065259634
1942,julie davico,julie davico,Julie Davico,,4,51.77617386420436
1943,police prédictif,police prédictive,police prédictive | police prédictives | Police prédictive,,4,36.98298133157454
1944,police municipal,police municipale,police municipale | polices municipales,,4,44.37957759788945
1945,nouveau création,nouvelle création,nouvelles créations | nouvelle création,,4,29.586385065259634
1946,chat bot,chat bot,chat bots | chat bot,,4,30.478959270516473
1947,loi informatique,loi informatique,loi informatique | loi Informatique,,4,66.56936639683417
1948,organisme vivant,organismes vivants,organismes vivants,,4,29.586385065259634
1949,vrai intelligence,vraie intelligence,vraie intelligence,,4,29.586385065259634
1950,antoine bello,antoine bello,Antoine Bello,,4,81.362558929464
1951,technologie ia,technologie ia,technologies IA | technologie IA,,4,36.98298133157454
1952,vrai humain,vrai humain,vrais humains | vrai humain,,4,29.586385065259634
1953,personne blanc,personnes blanches,personnes blanches,,4,29.586385065259634
1954,dernier temps,derniers temps,derniers temps,,4,29.586385065259634
1955,principal auteur,principal auteur,principal auteur | principaux auteurs,,4,29.586385065259634
1956,haut valeur,haute valeur,haute valeur,,4,29.586385065259634
1957,sueur froid,sueurs froides,sueurs froides,,4,29.586385065259634
1958,commune mesur,commune mesure,commune mesure,,4,29.586385065259634
1959,approche novateur,approche novatrice,approche novatrice,,4,29.586385065259634
1960,caméra haut,caméra haute,caméras haute | caméra haute,,4,29.586385065259634
1961,manière naturel,manière naturelle,manière naturelle,,4,29.586385065259634
1962,humain significatif,humain significatif,humain significatif | humaine significative,,4,36.98298133157454
1963,succès commercial,succès commercial,succès commercial | succès commerciaux,,4,29.586385065259634
1964,nicolas meric,nicolas meric,Nicolas Meric,,4,66.56936639683417
