unique_id,0,1,2,3,4
c20c6731-db24-4e0f-b641-095828f59693,15.280487,4.0702567,9.632757,21.361805,-5.2185836
b9cd5cc8-d202-43c8-bf36-a698caeb68cf,13.428837,5.2240787,9.765604,19.818588,-5.618455
2a83b01e-be1c-42e8-aa24-2304fa01e156,13.789295,4.4291697,8.47285,20.44095,-5.156214
7e127dd6-6493-45ef-90e5-d5d1585d2ce0,14.339406,3.6278613,9.638875,21.0529,-3.9580595
4a51601c-484f-4cff-80b1-0d754e30bc31,13.952221,4.288599,10.50819,18.813093,-3.5715685
a4d8b3c6-b070-45a4-881c-c5639232afe7,12.946064,6.0816107,8.013793,20.580088,-3.812832
6d4507cf-60ba-4a97-acc0-1612f97dc5f1,13.233966,5.7812934,9.88534,19.620155,-4.6861787
a40a3318-866a-4a90-993c-3add893d02e6,15.204508,4.090918,8.678651,20.80303,-5.2421045
aa140be9-54b0-4d00-9691-156f6ed42086,15.674392,4.9266605,10.532136,21.453878,-4.699435
3b95c0e4-7efe-43fb-93d9-9068e443f9bd,15.474786,4.9489737,10.453623,21.585678,-5.0251513
e518ca14-258c-4714-a872-74ee1f18bb62,13.581305,4.4070454,9.564309,19.802628,-4.8313804
b626e562-5e49-49b8-85c6-c82f72d4bf58,15.300462,4.354303,8.495218,20.619087,-5.24803
703a0974-4430-41af-8f8f-a4d30c4fc778,13.132412,5.138026,9.82678,19.409025,-2.9499128
d163eefe-9fc6-4536-9d26-46b76b139317,13.613468,3.00108,9.446553,19.670698,-2.1822798
12b6400c-105b-4bc3-ba86-0a6830b862ce,12.865871,5.7096457,9.911214,19.796303,-4.5890574
f31d88b0-ce50-424e-967f-e63f90a34271,15.561576,4.5546756,10.572243,21.411898,-4.584303
ae6dfb07-65c1-4e49-9d68-508b6fe255b2,13.591942,3.4095888,9.46203,20.164703,-2.3147273
d0d40f7d-a178-467d-8537-9b06ee152c25,14.563519,4.710041,8.740433,20.362898,-5.802837
745f4bd9-f8ba-467e-8e73-b3d1946c411d,12.949111,3.1750147,8.981187,20.28866,-1.9606079
f63f7560-3f90-4718-8e01-e7b02f96e889,14.328482,6.076953,8.3044615,20.564861,-3.268399
28d559b6-4cf2-45f8-8585-7a05ac334d87,14.758358,4.3819513,9.020629,20.372044,-5.379693
2d8337ce-2f8b-4c08-9f23-cae7033ba60b,14.426372,5.411854,9.921581,19.978498,-6.0065694
cabb651d-d5a3-4aa7-97c2-adcdd4c1de21,14.1184845,3.776691,9.571693,21.06648,-3.9378045
6c135539-efa8-4431-931b-69cd9b251957,13.070746,5.2264285,9.561982,19.781134,-3.2462373
aebe2ff9-d17a-4d36-a8b9-40f6eb90c0d4,13.490582,4.9297385,8.851735,20.320114,-3.4321458
3dc9da23-a3d2-4ef6-93c0-58d82f3da51b,13.437092,3.046068,8.841262,20.227543,-2.259949
26044050-4c00-460f-861f-cc5a6dfa6217,13.419737,4.7038984,9.70156,19.875355,-4.766109
0b447ca6-3b35-4396-b4ce-c581edc785aa,14.592054,4.9254866,9.111188,20.621908,-4.848286
06e89987-8e26-4001-b500-8227450842a4,14.058061,3.0451465,9.031301,19.894396,-1.7754967
66c20cfd-7006-437a-b74b-8ce6880298c6,13.536936,5.028011,9.667047,20.517708,-5.87307
7d422f8c-3a2d-4a5d-8f0e-ab9409bca189,13.354885,3.3592625,9.176544,19.41889,-2.4553292
8215f0f7-6141-4f61-8ecd-d12c793c9ba8,13.518748,4.5280423,8.666954,20.679218,-4.7947874
a4ea46ff-0339-4bc9-918f-eb943d645858,13.2565155,4.696418,8.952872,20.364975,-5.09486
42a06708-f1c7-4520-802e-57572d4483de,14.583036,4.104932,9.019039,20.654715,-5.525935
e8514312-7bc9-4ae6-8231-a531065fbf91,13.072024,3.5882833,9.570993,19.961807,-2.0261157
0b417713-05af-47d8-a2ac-84a0552e5ebb,13.321768,3.3863788,9.181126,19.40673,-2.4361794
003444a4-6f83-4f63-b7d1-c93c11afb449,15.467953,3.5124006,10.392083,20.322182,-4.6316476
94c4ae2c-23db-44d1-a95c-df9baade4bc7,13.515179,5.1470966,9.170374,19.532373,-2.945834
ad966dbc-ab6e-4b64-ab60-347f3d1d7ab9,13.564527,5.237991,9.345079,20.115364,-4.909195
99235f89-b248-484f-a07c-77a6bd3e0b99,14.574338,3.444022,9.28867,20.27226,-3.2921498
1ee06427-ea37-4d90-a86e-253ef64bb5ec,13.927589,4.666687,9.498527,20.51869,-5.744449
e05f169b-081d-4030-8e0a-8b053d653ca4,12.800752,6.6707034,7.912834,20.641748,-3.4737763
8aa215b7-1cc6-4373-869d-1c1ceb025fda,12.933221,5.7315054,9.7412195,21.29905,-5.107452
29fd3ae8-32bd-482b-8f0e-83e765c4773e,11.55537,4.54874,9.299169,21.914675,-3.2617252
38b97a28-4306-4fab-a222-f64f5554aac0,11.895793,4.4000306,9.252223,21.654545,-3.2356138
ccaca3c9-a0d7-4146-9a3c-bc98c367c953,13.614607,5.2447143,9.718486,19.940268,-5.4701257
57e934a8-1ab6-4637-b94d-e6560bee1458,11.729321,4.6048536,9.207122,21.850655,-3.4168637
eff56e65-7502-4214-86c9-785d4d9ea47c,14.661462,4.362603,8.801977,20.48252,-5.5927687
2ee3d42a-9e58-437e-a052-8dfd3002b15d,13.650378,6.1552,8.427163,20.385738,-3.3963945
28ea9888-64e8-425b-8621-0a1d0bb4b1e2,13.792001,5.4328356,9.491968,19.946354,-2.887288
6ed8f677-2eb1-4116-89b1-9e10643cf811,13.554493,3.4566314,9.511918,20.131138,-2.5229332
ce70622c-16ef-4311-a0de-a9d94032b898,14.035205,6.0261884,10.570041,20.697798,-4.848429
6b1aab65-e6a5-41be-affe-c9a0d2ba5e31,15.082102,5.5062046,8.645205,21.543352,-3.2996845
0e03979a-cac3-4e6f-ba8f-6140dcd35f84,13.642327,3.7464685,9.646837,19.32207,-4.315713
dd2e1593-91e7-4168-888a-b7d965cc6de8,13.935317,5.4838266,9.734545,21.259865,-5.20759
